Asignar a cada código del catálogo de artículos de especificaciones, los agrupadores correspondientes.
Los agrupadores están relacionados jerárquicamente entre sí en el siguiente 

orden: GrupoCont, GrupoMayor y GrupoMenor.

'Tabla ArtGrupoMayor'

GrupoCont	GrupoMayor	Descripcion
100	AUTO	AUTOMOVILES
100	MAMBA	MAMBA
100	PICKUP	PICKUPS
100	SUV	SUVS
100	TRACTO	TRACTOCAMION
200	AUTO	AUTOMOVILES
200	PICKUP	PICKUPS
200	SUV	SUVS
200	TRACTO	TRACTOCAMION
300	BLIND	BLINDAJES
305	MAQU	MAQUINADOS
305	P5-KIT-COR	P5 KIT DE CORTE
305	P5-MAQU	P5 MAQUINADOS
400	ACC BLIND	ACCESORIOS DE BLINDAJES
500	ACCE	ACCESORIOS VARIOS
500	ACEI	ACEITES, GRASAS Y LUBRICANTES
500	ACER	ACEROS
500	AFIN	AFINACION
500	CLIM	CLIMA Y CALEFACCION
500	COMB	SIST COMBUSTIBLE, ESCAPE Y EMISIONES
500	CORT	CORTE LASER Y DOBLEZ
500	CRIS	CRISTALES
500	CYC	COLISION Y CARROCERIA
500	DETA	DETALLADO
500	DIFE	DIFERENCIAL
500	DIRE	DIRECCION
500	ELEC	ELECTRICO
500	ENFR	SIST ENFRIAMIENTO
500	FERR	FERRETERIA
500	FREN	FRENOS
500	HERR	HERRAMIENTAS
500	KTPS	KITS TPS
500	LIMP	LIMPIEZA
500	LOGI	LOGISTICA
500	MAQU	MAQUINADOS
500	MOTO	MOTOR
500	PENDIENTE	POR DEFINIR GRUPO MAYOR
500	PINT	PINTURA
500	RUED	RUEDAS Y LLANTAS
500	SINI	SINIESTROS
500	SINT	SINTETICOS
500	SOLD	SOLDADURA
500	SUSP	SUSPENSION
500	TORN	TORNILLERIA
500	TOT TALLER	TRABAJO EN OTROS TALLERES PARA TALLERES
500	TRAN	TRANSMISION
500	VARI	VARIOS
505	P5-ACER	P5 PLACA DE ACERO
505	PENDIENTE	P5 POR DEFINIR GRUPO MAYOR
600	STOT	TOTS EN TALLER SERVICIO
600	TOT TALLER	TRABAJO EN OTROS TALLERES PARA TALLERES
601	TOT PLANTA	TRABAJOS EN OTROS TALLERES PARA PLANTAS
701	COMP	COMPONENTE DE ESPECIFICACION
800	PROY	PROYECTO ARQUITECTONICO
900	RENT	ARTÍCULO DE RENTAS

'Tabla ArtGrupoMenor'

GrupoCont	GrupoMayor	GrupoMenor	Descripcion
100	AUTO	AUTO	AUTO NUEVO
200	AUTO	AUTO	AUTO SEMINUEVO
300	BLIND	B6	NIVEL B6
300	BLIND	B6+	NIVEL B6 PLUS
300	BLIND	B7	NIVEL B7
300	BLIND	B7+	NIVEL B7 PLUS
300	BLIND	III	NIVEL III
300	BLIND	III PA	NIVEL III PLUS ACERO
300	BLIND	III PS	NIVEL III PLUS SINTETICO
300	BLIND	III UL	NIVEL III ULTRALIGERO
300	BLIND	III+	NIVEL III PLUS
300	BLIND	IV	NIVEL IV
300	BLIND	IV+	NIVEL IV PLUS
300	BLIND	NA	NO APLICA
300	BLIND	V	NIVEL V
300	BLIND	V+	NIVEL V PLUS
305	MAQU	ANGULO	ANGULOS SOPORTES Y SOLERAS PERFORADAS O ROSCADAS
305	MAQU	BARRAS	BARRAS ESTABILIZADORA
305	MAQU	BISAGR	BISAGRAS
305	MAQU	BUJE-ES	BUJES ESPACIADORES
305	MAQU	BUJE-RO	BUJES ROSCADOS
305	MAQU	CAÑUEL	CAÑUELAS
305	MAQU	CONTRA	CONTRABISAGRAS
305	MAQU	PLAC-FIJ	PLACAS FIJADORAS Y LAINAS
305	MAQU	PLAST	MAQUINADOS PLASTICOS
305	MAQU	PRESUR	PRESURIZADORES
305	MAQU	TACT-PTA	PUERTAS TACTICOS
305	MAQU	VARI	VARIOS
305	P5-MAQU	ANGULO	ANGULOS SOPORTES Y SOLERAS PERFORADAS O ROSCADAS
305	P5-MAQU	BARRAS	BARRAS ESTABILIZADORA
305	P5-MAQU	BISAGR	BISAGRAS
305	P5-MAQU	BUJE-ES	BUJES ESPACIADORES
305	P5-MAQU	BUJE-RO	BUJES ROSCADOS
305	P5-MAQU	CAÑUEL	CAÑUELAS
305	P5-MAQU	COMPON	COMPONENTES DE SUSPENSION
305	P5-MAQU	CONTRA	CONTRABISAGRAS
305	P5-MAQU	CORTE-LAS	CORTE LASER
305	P5-MAQU	CREMAL	CREMALLERAS, ENGRANES Y MOTORES REC.
305	P5-MAQU	MENOR	SOPORTES Y REFUERZOS EN CHASIS
305	P5-MAQU	PLAC-FIJ	PLACAS FIJADORAS Y LAINAS
305	P5-MAQU	PLACT-ETI	PLACAS -ETIQUETAS CON INFORMACION
305	P5-MAQU	PLAST	MAQUINADOS PLASTICOS
305	P5-MAQU	PRESUR	PRESURIZADORES
305	P5-MAQU	SOPORT	SOPORTES LAMINA, BRACKETS
305	P5-MAQU	TACT-CEX	PARTES DE CARROCERIA EXTERIOR TACTICOS
305	P5-MAQU	TACT-CIN	PARTES DE CARROCERIA INTERIOR TACTICOS
305	P5-MAQU	TACT-PTA	PUERTAS TACTICOS
305	P5-MAQU	TRONER	TRONERAS, ESCOTILLAS Y PORTA ARMAS
305	P5-MAQU	VACIAD	VACIADOS
305	P5-MAQU	VARI	VARIOS
500	AFIN	BAND	BANDAS
500	AFIN	BUJI	BUJIAS
500	AFIN	FILT-ACE	FILTROS DE ACEITE
500	AFIN	FILT-AIR	FILTROS DE AIRE
500	AFIN	FILT-GAS	FILTROS DE GASOLINA
500	CLIM	BOMB	BOMBA DE REFRIGERANTE
500	CLIM	COMP	COMPRESOR
500	CLIM	COND	CONDENSADOR
500	CLIM	EVAP	EVAPORADOR
500	CLIM	FILT	FILTRO DESHIDRATADOR
500	CLIM	MOTO	MOTOR TERMICO
500	CLIM	RADI	RADIADOR DE CALEFACCION
500	CLIM	REFO	REFORZADOR
500	CLIM	TERM	TERMOCONTACTO
500	CLIM	TURB	TURBINA
500	CLIM	VASO	VASO DE EXPANSION
500	COMB	BOMB	BOMBA DE COMBUSTIBLE Y LINEAS
500	COMB	INYE	INYECTORES
500	COMB	MOFL	MOFLE
500	CORT	ACE-BAL	CORTE ACERO BALISTICO
500	CORT	ACE-COM	CORTE ACERO COMERCIAL
500	CORT	DOBL	PIEZAS DOBLADAS
500	CORT	GRAB	GRABADO
500	CRIS	BL	MEDALLONES
500	CRIS	DIV	DIVISIONES
500	CRIS	EXF	COMPLEMENTO DE PUERTA
500	CRIS	FD	VENTANILLAS DE PUERTAS DELANTERAS
500	CRIS	FV	ALETAS- VENTILETAS DELANTERAS
500	CRIS	MAMP	MAMPARAS
500	CRIS	QUEM	QUEMACOCOS
500	CRIS	RD	VENTANILLAS DE PUERTAS TRASERAS
500	CRIS	RQ	CUARTOS CURVOS
500	CRIS	RQF	CUARTOS PLANOS
500	CRIS	VPV	MIRILLAS ESCOTILLA
500	CRIS	WS	PARABRISAS
500	CYC	ALFO	ALFOMBRAS
500	CYC	ASIE	ASIENTOS
500	CYC	BISA	BISAGRAS
500	CYC	CALA	CALAVERAS
500	CYC	CINT	CINTURONES
500	CYC	COFR	COFRES
500	CYC	COST	COSTADOS
500	CYC	CUBR	CUBREPOLVOS
500	CYC	DEFE	DEFENSA
500	CYC	EMBL	EMBLEMAS
500	CYC	EMPA	EMPAQUES
500	CYC	ESPE	ESPEJOS
500	CYC	ETIQ	ETIQUETAS
500	CYC	FARO	FAROS
500	CYC	FASC	FASCIAS
500	CYC	GAMU	GAMUSAS
500	CYC	MARC	MARCOS
500	CYC	MOLD	MOLDURAS
500	CYC	PARR	PARRILLAS
500	CYC	PIEL	PIELES
500	CYC	PLAN	PLANCHA DE METAL
500	CYC	PRES	PRESURIZADORES
500	CYC	PUER	PUERTAS
500	CYC	SALP	SALPICADERAS
500	CYC	TAPI	TAPICERIA
500	CYC	TELA	TELAS
500	CYC	TOLV	TOLVAS
500	DIFE	BALE	BALEROS
500	DIFE	BARR	BARRAS
500	DIFE	BIRL	BIRLOS
500	DIFE	CAJA	CAJAS DE SATELITE
500	DIFE	DIFE	DIFERENCIALES
500	DIFE	FLEC	FLECHAS O EJES
500	DIFE	RETE	RETENES
500	DIRE	BIEL	BIELETAS
500	DIRE	BOMB	BOMBA DE DIRECCION
500	DIRE	CAJA	CAJAS
500	DIRE	CREM	CREMALLERAS
500	DIRE	MANG	MANGERAS
500	DIRE	NUDO	NUDOS
500	DIRE	PART	PARTES DE VOLANTE
500	DIRE	RETE	RETENES
500	ELEC	ACTU	ACTUADORES
500	ELEC	ALTE	ALTERNADORES
500	ELEC	ANTE	ANTENAS
500	ELEC	ARNE	ARNESES
500	ELEC	BATE	BATERIAS
500	ELEC	BOBI	BOBINAS
500	ELEC	BOCI	BOCINAS
500	ELEC	BOTO	BOTONES
500	ELEC	CABL	CABLES
500	ELEC	CAJA-FUS	CAJAS DE FUSIBLES
500	ELEC	CAJA-POD	CAJAS DE PODER
500	ELEC	CAMA	CAMARAS
500	ELEC	CLAX	CLAXONS
500	ELEC	COMP	COMPUTADORAS
500	ELEC	CONE	CONEXIONES
500	ELEC	FARO	FAROS
500	ELEC	FOCO	FOCOS
500	ELEC	FUSI	FUSIBLES
500	ELEC	LLAV	LLAVES
500	ELEC	LUZ	LUZ
500	ELEC	MARC	MARCHAS
500	ELEC	MODU	MODULOS
500	ELEC	MOTO	MOTORES
500	ELEC	RESI	RESISTENCIAS
500	ELEC	SENS	SENSORES
500	ELEC	SWIT	SWITCHES
500	ELEC	TERM	TERMINALES
500	ENFR	ANTI	ANTICONGELANTE
500	ENFR	BOMB	BOMBA DE AGUA
500	ENFR	MANG	MANGERAS
500	ENFR	RADI	RADIADOR
500	ENFR	TAPO	TAPONES
500	FERR	ABRA	ABRASIVOS
500	FERR	BROC	BROCAS
500	FERR	CINC	CINCHOS
500	FERR	CINT	CINTAS
500	FERR	DISC	DISCOS
500	FERR	ESPA	ESPARRAGOS
500	FERR	INSE	INSERTOS
500	FERR	LIJA	LIJAS
500	FERR	PIJA	PIJAS
500	FERR	REMA	REMACHES
500	FERR	ROTU	ROTULAS
500	FERR	SILI	SILICONES
500	FREN	BALA	BALATAS
500	FREN	BIRL	BIRLOS
500	FREN	BOMB	BOMBAS
500	FREN	BOOS	BOOSTERS
500	FREN	BREM	BREMBOS
500	FREN	CABL	CABLES
500	FREN	CALI	CALIPERS
500	FREN	CHIC	CHICOTES
500	FREN	CILI	CILINDROS
500	FREN	DISC	DISCOS
500	FREN	HIDR	HIDROBOSTERS
500	FREN	LINE	LINEAS
500	FREN	MANG	MANGUERAS
500	FREN	MASA	MASAS
500	FREN	MORD	MORDAZAS
500	FREN	PEDA	PEDALES
500	FREN	PIST	PISTONES
500	FREN	SENS	SENSORES DE FRENOS
500	HERR	APRET	PARA APRETAR
500	HERR	CORT	CORTE
500	HERR	ELEC	ELECTRICAS
500	HERR	GOLPE	PARA GOLPEAR
500	HERR	MANU	MANUALES
500	HERR	MEDI	MEDICION
500	HERR	SUJE	SUJECION
500	HERR	VARI	VARIAS
500	KTPS	KACCE	KITS DE ACCESORIOS
500	KTPS	KBIS	KIT BISAGRAS
500	KTPS	KCELD	KIT POR CELDAS
500	KTPS	KCORT	KIT CORTE
500	KTPS	KCRIS	KIT DE CRISTALES
500	KTPS	KRECO	KITS RECORRIDOS
500	KTPS	KSUSP	KIT SUSPENSION
500	KTPS	KVARI	KITS VARIOS
500	LIMP	CERA	CERAS
500	LIMP	SHAM	SHAMPOO
500	LIMP	VARI	VARIOS
500	MAQU	ANGULO	ANGULOS SOPORTES Y SOLERAS PERFORADAS O ROSCADAS
500	MAQU	BARRAS	BARRAS ESTABILIZADORA
500	MAQU	BISAGR	BISAGRAS
500	MAQU	BUJE-ES	BUJES ESPACIADORES
500	MAQU	BUJE-RO	BUJES ROSCADOS
500	MAQU	CAÑUEL	CAÑUELAS
500	MAQU	CHASIS	SOPORTES Y REFUERZOS EN CHASIS
500	MAQU	COMPON	COMPONENTES DE SUSPENSION
500	MAQU	CONTRA	CONTRABISAGRAS
500	MAQU	CORT-LAS	CORTE LASER
500	MAQU	CREMAL	CREMALLERAS, ENGRANES Y MOTORES REC.
500	MAQU	PLAC-ETI	PLACAS -ETIQUETAS CON INFORMACION
500	MAQU	PLAC-FIJ	PLACAS FIJADORAS Y LAINAS
500	MAQU	PLAST	MAQUINADOS PLASTICOS
500	MAQU	PRESUR	PRESURIZADORES
500	MAQU	SOPORT	SOPORTES LAMINA, BRACKETS
500	MAQU	TACT-CEX	PARTES DE CARROCERIA EXTERIOR TACTICOS
500	MAQU	TACT-CIN	PARTES DE CARROCERIA INTERIOR TACTICOS
500	MAQU	TACT-PTA	PUERTAS TACTICOS
500	MAQU	TRONER	TRONERAS, ESCOTILLAS Y PORTA ARMAS
500	MAQU	VACIAD	VACIADOS
500	MAQU	VARI	VARIOS
500	MOTO	SENS	SENSORES
500	MOTO	VARI	VARIOS
500	PINT	BARN	BARNISES
500	PINT	BROC	BROCHAS
500	PINT	DESE	DESENGRASANTE
500	PINT	ESMA	ESMALTES
500	PINT	FOND	FONDOS
500	PINT	PAPE	PAPEL
500	PINT	PINT	PINTURAS
500	PINT	ROLL	ROLLO
500	PINT	SELL	SELLADORES
500	PINT	THIN	THINNER
500	RUED	BIRL	BIRLOS
500	RUED	FLAT	FLATOVER
500	RUED	LLAN	LLANTAS
500	RUED	RINE	RINES
500	RUED	RUNF	RUNFLATS
500	SINT	KEVL	PANEL DE KEVLAR
500	SINT	MANT	MANTAS
500	SINT	POLI	PANEL DE POLIETILENO
500	SOLD	SOLD	SOLDADORAS Y MATERIAL PARA SOLDAR
500	SUSP	AISL	AISLADORES
500	SUSP	AMOR	AMORTIGUADORES
500	SUSP	ARTI	ARTICULACIONES
500	SUSP	BASE	BASES
500	SUSP	BRAZ	BRAZOS
500	SUSP	BUJE	BUJES
500	SUSP	COMP	COMPRESORES
500	SUSP	FLEC	FLECHAS
500	SUSP	FRON	FRONTALES
500	SUSP	GOMA	GOMAS
500	SUSP	HORQ	HORQUILLAS
